RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
11,Action Against Hunger at the University of Illinois at Urbana-Champaign,Community Service & Philanthropy,NA,NA
12,Acts Campus Ministry at UIUC,Faith,Religion & Spirituality,NA
13,Actually Neurodivergent,Advocacy & Activism,Identity & Culture,Social & Leisure
14,Actuarial Science Club,Business,Technology,Engineering & Mathematics
15,Adaptive Abilities,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
16,Adventure Club,Social & Leisure,NA,NA
17,Aerial Illinois Robotics,Business,Education,Pedagogy & Instruction
18,Aerospace Engineering Graduate Student Advisory Committee,Advocacy & Activism,Technology,Engineering & Mathematics
19,African Cultural Association,Identity & Culture,NA,NA
20,African Students Organization,Advocacy & Activism,Education,Pedagogy & Instruction
21,Afrique Dance Ensemble,Health & Wellness,Identity & Culture,Performance Arts
22,Agricultural and Consumer Economics - Graduate Student Organization,Agricultural,NA,NA
23,Airsoft at Illinois,Athletic & Recreation,NA,NA
24,Albanian Student Association,Identity & Culture,NA,NA
25,Algebraic Geometry and Topology Club,Technology,Engineering & Mathematics,NA
26,ALPFA Illinois,Business,Identity & Culture,NA
27,Alpha Chi Omega,Social & Leisure,Social Fraternities & Sororities,NA
28,Alpha Chi Sigma,Life & Physical Sciences,NA,NA
29,Alpha Delta Phi Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
30,Alpha Delta Pi,Social Fraternities & Sororities,NA,NA
31,Alpha Epsilon Delta Pre-Health Society,Health & Wellness,NA,NA
32,Alpha Epsilon Phi Sorority,Social & Leisure,Social Fraternities & Sororities,NA
33,Alpha Epsilon Pi,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
34,Alpha Gamma Delta,Social & Leisure,Social Fraternities & Sororities,NA
35,Alpha Investment Management Partners,Business,Information & Data Sciences,Technology
36,"Alpha Kappa Alpha Sorority, Incorporated. Gamma Chapter",Advocacy & Activism,Business,Community Service & Philanthropy
37,Alpha Kappa Delta Phi,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
38,Alpha Kappa Psi Professional Business Fraternity,Business,NA,NA
39,Alpha Omega Campus Ministry,Faith,Religion & Spirituality,NA
40,Alpha Omega Epsilon Engineering Sorority,Social Fraternities & Sororities,Technology,Engineering & Mathematics
41,Alpha Omicron Pi,Social & Leisure,Social Fraternities & Sororities,NA
42,"Alpha Phi Alpha Fraternity, Incorporated",Social & Leisure,Social Fraternities & Sororities,NA
43,"Alpha Phi Gamma National Sorority, Inc.",Social & Leisure,Social Fraternities & Sororities,~ Affiliation: Asian American Cultural Center (AACC)
44,Alpha Phi International Sorority,Community Service & Philanthropy,Social Fraternities & Sororities,NA
45,Alpha Phi Omega,Advocacy & Activism,Community Service & Philanthropy,Environmental & Sustainability
46,"Alpha Pi Sigma Sorority, Incorporated. - Xi Chapter",Community Service & Philanthropy,Identity & Culture,Social & Leisure
47,Alpha Psi Lambda,Identity & Culture,Social & Leisure,Social Fraternities & Sororities
48,Alpha Rho Chi,Technology,Engineering & Mathematics,NA
49,"Alpha Sigma Omega Latina Sorority, Inc.",Social Fraternities & Sororities,NA,NA
50,Alpha Sigma Phi Fraternity,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
51,Alpha Tau Alpha slash Ag Ed Club,Agricultural,Education,Pedagogy & Instruction
52,Alpha Tau Omega: Gamma Zeta,Social & Leisure,Social Fraternities & Sororities,NA
53,Alpha Xi Delta,Community Service & Philanthropy,Social & Leisure,NA
54,Alpha Zeta Morrow,Agricultural,Honorary,NA
55,Also Known As Improv ( AKA Improv ),Performance Arts,Social & Leisure,NA
56,Altgeld Ringers,Education,Pedagogy & Instruction,Performance Arts
57,Alzheimer’s Disease and Dementia Alliance,Advocacy & Activism,Community Service & Philanthropy,Education
58,Amateur Artists of Illustration,Media Arts,Social & Leisure,NA
59,American Advertising Federation at the University of Illinois,Business,Honorary,Information & Data Sciences
60,American Association for Aerosol Research at UIUC,Environmental & Sustainability,Technology,Engineering & Mathematics
61,"American Association of Zoo Veterinarians, Illinois Student Chapter",Veterinary,NA,NA
62,American Cancer Society On Campus,Community Service & Philanthropy,NA,NA
63,American Chemical Society,Life & Physical Sciences,NA,NA
64,American Choral Directors Association University of Illinois Student Chapter,Education,Pedagogy & Instruction,Performance Arts
65,American Concrete Institute,Education,Pedagogy & Instruction,NA
66,American Constitution Society,Law,NA,NA
67,"American Fisheries Society, U of I Student Subunit",Environmental & Sustainability,Life & Physical Sciences,NA
68,American Indian Science and Engineering Society,Environmental & Sustainability,Identity & Culture,Technology
69,American Institute of Aeronautics and Astronautics Student Branch,Environmental & Sustainability,Technology,Engineering & Mathematics
70,American Institute of Architecture Students,Advocacy & Activism,Community Service & Philanthropy,Social & Leisure
71,American Institute of Chemical Engineers,Technology,Engineering & Mathematics,NA
72,"American Library Association Student Chapter at the University of Illinois, Urbana-Champaign",Information & Data Sciences,NA,NA
73,American Marketing Association,Business,NA,NA
74,American Mathematical Society Graduate Chapter,Community Service & Philanthropy,Education,Pedagogy & Instruction
75,American Medical Student Association Pre-Med,Community Service & Philanthropy,Health & Wellness,NA
76,American Medical Women’s Association at UIUC,Health & Wellness,NA,NA
77,"American Nuclear Society, University of Illinois Student Section",Education,Pedagogy & Instruction,Environmental & Sustainability
78,American Railway Engineering and Maintenance-of-Way Association Student Chapter at UIUC,Technology,Engineering & Mathematics,NA
79,American Red Cross Club at the University of Illinois at Urbana Champaign,Community Service & Philanthropy,NA,NA
80,American Sign Language and Deaf Culture Club,Identity & Culture,NA,NA
81,American Society for Biochemistry and Molecular Biology Student Chapter at UIUC,Life & Physical Sciences,NA,NA
82,American Society of Agricultural and Biological Engineers,Agricultural,Environmental & Sustainability,Technology
83,American Society of Civil Engineers,Environmental & Sustainability,Technology,Engineering & Mathematics
84,American Society of Mechanical Engineers,Education,Pedagogy & Instruction,Technology
85,"American Society of the Heating, Refrigeration and Air-Conditioning Engineers",Environmental & Sustainability,Technology,Engineering & Mathematics
86,Amnesty International 124,Advocacy & Activism,Community Service & Philanthropy,International
87,Among Us Club,Advocacy & Activism,NA,NA
88,Animal Welfare Club - Undergraduate Chapter,NA,NA,NA
89,Arab American Association of Engineers and Architects,Honorary,Identity & Culture,Technology
90,Arab Student Association,Identity & Culture,NA,NA
91,Arabic Debate Student Association,Education,Pedagogy & Instruction,International
92,Archery Club,Athletic & Recreation,NA,NA
93,Armenian Students’ Cultural Association,Identity & Culture,Social & Leisure,NA
94,Army ROTC Cadet Council,Veteran & Military Connected,NA,NA
95,Arnold Air Society - Jake Schaefer Squadron,Community Service & Philanthropy,Honorary,Veteran & Military Connected
96,Arpeggia,Advocacy & Activism,Business,Community Service & Philanthropy
97,Art Ed Student Organization,Education,Pedagogy & Instruction,NA
98,Ascend UIUC Chapter,Business,NA,NA
99,Asha for Education: Urbana-Champaign,Community Service & Philanthropy,~ Affiliation: Asian American Cultural Center (AACC),NA
100,Asian American Association,Identity & Culture,Social & Leisure,~ Affiliation: Asian American Cultural Center (AACC)
101,"Asian American Coalition Combating Oppression, Racism, and Discrimination",Advocacy & Activism,~ Affiliation: Asian American Cultural Center (AACC),NA
102,Asian Law Students Association,Law,NA,NA
103,Asian Pacific American Medical Student Association,Health & Wellness,NA,NA
104,Asian Pre-Law Association,Advocacy & Activism,Education,Pedagogy & Instruction
105,Association for Computing Machinery,Information & Data Sciences,Technology,Engineering & Mathematics
106,Association for Quantitative Trading Education,Business,Information & Data Sciences,Technology
107,Association of Food Technologists,Agricultural,Business,Education
108,Association of Minorities in Political Science,Ideology & Politics,Social & Leisure,NA
109,Association of Minority Mental Health Practitioners,Health & Wellness,Identity & Culture,Social & Behavioral Sciences
110,Association of The Liberal Arts and Sciences,International,Life & Physical Sciences,Social & Behavioral Sciences
111,Astrobiology Club,Life & Physical Sciences,NA,NA
112,Astronomical Society at the University of Illinois at Urbana-Champaign,Life & Physical Sciences,Social & Leisure,NA
113,AWS Cloud Club - UIUC,Information & Data Sciences,Technology,Engineering & Mathematics
114,AxisMED,Health & Wellness,Technology,Engineering & Mathematics
115,Azerbaijan Student Association at UIUC,Identity & Culture,International,NA
116,Badmaash Company,Identity & Culture,International,Performance Arts
117,Badminton For Fun,Athletic & Recreation,NA,NA
118,Ballet Folklorico Mitotiani,Performance Arts,NA,NA
119,Balloon Design at Illinois,Social & Leisure,NA,NA
120,Baltic Club,NA,NA,NA
121,Bangladeshi Students Association,International,NA,NA
122,Bankruptcy Law Society,Law,NA,NA
123,Baptist Campus Ministries,Faith,Religion & Spirituality,NA
124,Baptist Chinese Campus Ministries,Faith,Religion & Spirituality,NA
125,Bar None,Law,NA,NA
126,Beekeeping Club at UIUC,Advocacy & Activism,Environmental & Sustainability,NA
127,Bengali Students Organization ( UIUC ) - Abol Tabol,Identity & Culture,NA,NA
128,Best Buddies International,Advocacy & Activism,Community Service & Philanthropy,Social & Leisure
129,Beta Alpha Psi,Business,NA,NA
130,"Beta Chi Theta Fraternity, Inc.",Social & Leisure,Social Fraternities & Sororities,NA
131,Beta Psi Omega,Life & Physical Sciences,NA,NA
132,Beta Sigma Psi,Community Service & Philanthropy,Faith,Religion & Spirituality
133,Beta Theta Pi Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
134,Bilingual Organization for SHS Students,Advocacy & Activism,Education,Pedagogy & Instruction
135,Biomedical Engineering Journal CLub,Technology,Engineering & Mathematics,NA
136,Biomedical Engineering Society,Technology,Engineering & Mathematics,NA
137,Bioscience Journal Club,Life & Physical Sciences,NA,NA
138,Black Association of Psychology Students,Health & Wellness,Identity & Culture,Social & Behavioral Sciences
139,Black Business Network,Business,NA,NA
140,Black Chorus at the University of Illinois,Identity & Culture,Performance Arts,NA
141,Black Graduate Student Association,Identity & Culture,NA,NA
142,Black Greek Council,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
143,Black Law Students Association,Law,NA,NA
144,Black Muslim Association,Advocacy & Activism,Faith,Religion & Spirituality
145,Black Queer Collective at UIUC,Advocacy & Activism,Identity & Culture,Social & Leisure
146,"Black, Indigenous, and Latinx in Tech - B [ U ] ILT",Technology,Engineering & Mathematics,NA
147,BLNKD,Media Arts,NA,NA
148,Blood Club,Community Service & Philanthropy,Health & Wellness,NA
149,Brain Matters,Health & Wellness,Life & Physical Sciences,Media Arts
150,Brave New Midnight,Social & Leisure,NA,NA
151,Bridges International,Faith,Religion & Spirituality,Identity & Culture
152,BuildIllinois,Technology,Engineering & Mathematics,NA
153,Building Research Insights and Developing General Education,Community Service & Philanthropy,Education,Pedagogy & Instruction
154,Burden Shifters: The University of Illinois College of Law Strength and Conditioning Club,Athletic & Recreation,Health & Wellness,Law
155,Business Council,Business,NA,NA
156,C-U Cinefile,Media Arts,NA,NA
157,Caer Gwyn,Social & Leisure,NA,NA
158,Calisthenics Club,Athletic & Recreation,NA,NA
159,Camp Kesem at University of Illinois,Community Service & Philanthropy,NA,NA
160,Campus Sanskrit Network,Faith,Religion & Spirituality,Identity & Culture
161,Campus Union for Trans Equality and Support,Advocacy & Activism,Identity & Culture,NA
162,Cancer Center at Illinois Student Organization,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
163,"Cancer Health Advocacy, Research, and Mentorship at UIUC",Life & Physical Sciences,Health & Human Sciences,NA
164,Capoeira Club at UIUC,Advocacy & Activism,Athletic & Recreation,Health & Wellness
165,Caring Companions Initiative,Community Service & Philanthropy,NA,NA
166,Catholic Illini Association,Faith,Religion & Spirituality,International
167,Catholic Relief Services at the University of Illinois,Advocacy & Activism,Agricultural,Community Service & Philanthropy
168,Central American Student Association,Identity & Culture,NA,NA
169,Central Asian Association,Community Service & Philanthropy,Identity & Culture,International
170,Cereal Enthusiasts Society,Community Service & Philanthropy,Social & Leisure,NA
171,Chabad Jewish Student Association,Community Service & Philanthropy,Faith,Religion & Spirituality
172,Chai Town,Performance Arts,NA,NA
173,Champaign-Urbana Business and Engineering Consulting,Business,Education,Pedagogy & Instruction
174,Champaign-Urbana Trickers,Athletic & Recreation,Social & Leisure,NA
175,Change Ringers of Urbana-Champaign,Performance Arts,NA,NA
176,Character Creation Hub,Media Arts,Social & Leisure,NA
177,Charity: Water University of Illinois,Advocacy & Activism,Health & Human Sciences,NA
178,Cheese Club At UIUC,Identity & Culture,Social & Leisure,NA
179,Chi Epsilon Civil Engineering Honor Society,Honorary,Technology,Engineering & Mathematics
180,Chi Omega,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
181,Chi Psi Fraternity,Social & Leisure,NA,NA
182,"Chi Sigma Tau National Fraternity, Inc.",Community Service & Philanthropy,Identity & Culture,Social & Leisure
183,Child Life Association,Community Service & Philanthropy,NA,NA
184,Chinese Business Student Association,Business,International,Social & Leisure
185,Chinese Engineering Students Association ( CESA ),Identity & Culture,International,Social & Leisure
186,Chinese Language Association for International Development,Identity & Culture,International,Performance Arts
187,Chinese Students and Scholars Association,~ Affiliation: Asian American Cultural Center (AACC),NA,NA
188,Chinese Theatre Group,Performance Arts,NA,NA
189,CHOOM,Athletic & Recreation,NA,NA
190,Christ Community,Faith,Religion & Spirituality,NA
191,Christian Law Students Association,Faith,Religion & Spirituality,NA
192,Christian Literature Club,Faith,Religion & Spirituality,NA
193,Christians on Campus,Faith,Religion & Spirituality,NA
194,Circassian Benevolent Student Association,Identity & Culture,NA,NA
195,Circle K International-UIUC Chapter,Community Service & Philanthropy,NA,NA
196,Circular Fashion Expo ( CFE ),Environmental & Sustainability,Media Arts,NA
197,Climate and Meteorological Association of Students,Social & Leisure,NA,NA
198,Climbing Club at UIUC,Athletic & Recreation,Club Sports,NA
199,Club Insecta,Community Service & Philanthropy,Education,Pedagogy & Instruction
200,Club Pickleball at the University of Illinois,Athletic & Recreation,Club Sports,NA
201,Club Tennis,Athletic & Recreation,NA,NA
202,Clubs Communities,Business,Social & Leisure,NA
203,Codable,Information & Data Sciences,International,Technology
204,CodeCat,Community Service & Philanthropy,Education,Pedagogy & Instruction
205,CodeRed,Advocacy & Activism,Community Service & Philanthropy,~ Affiliation: Women's Resources Center (WRC)
206,College of Law Labor and Employment Law Society at the University of Illinois,Advocacy & Activism,Law,NA
207,College of Nursing at Urbana Urban Health Program,Life & Physical Sciences,NA,NA
208,College of Nursing Student Council at UIC Urbana,Advocacy & Activism,Education,Pedagogy & Instruction
209,College Republicans at UIUC,Ideology & Politics,NA,NA
210,Collegiate 4-H,Community Service & Philanthropy,NA,NA
211,Collegiate Academy,Community Service & Philanthropy,Law,Technology
212,Combat Robotics,NA,NA,NA
213,Competitive Super Smash Bros. Club,Social & Leisure,NA,NA
214,Competitive Taekwondo Club,Athletic & Recreation,NA,NA
215,Conch Shell Mental Support,Health & Wellness,International,~ Affiliation: Asian American Cultural Center (AACC)
216,Concrete Canoe at UIUC,Technology,Engineering & Mathematics,NA
217,Coptic Orthodox Christian Fellowship,Faith,Religion & Spirituality,NA
218,Cornerstone Christian Student Fellowship,Faith,Religion & Spirituality,NA
219,CornTV,Media Arts,NA,NA
220,Corporate and Business Law Association,Law,NA,NA
221,Cosmetic Chemistry Club,Life & Physical Sciences,NA,NA
222,Cosplay Design League,Media Arts,Social & Leisure,NA
223,Covenant Fellowship,Faith,Religion & Spirituality,NA
224,Cover 2 Cover,Community Service & Philanthropy,Education,Pedagogy & Instruction
225,Creative Writing Club,Media Arts,NA,NA
226,Creators of Color Association,Identity & Culture,Media Arts,Performance Arts
227,Cricket Club of Illinois,Athletic & Recreation,Club Sports,NA
228,Criminal Law Society,Law,NA,NA
229,Crisis Nursery Student Initiative,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
230,Crop Sciences Graduate Student Organization,Agricultural,Social & Leisure,NA
231,Cross Country Club,Athletic & Recreation,NA,NA
232,Crossway,Faith,Religion & Spirituality,NA
233,Cru,Faith,Religion & Spirituality,NA
234,Crumbl Club,Social & Leisure,NA,NA
235,CSC,Athletic & Recreation,NA,NA
236,Dance2XS at UIUC,Athletic & Recreation,NA,NA
237,Dance2XS Caliente,Performance Arts,NA,NA
238,Dancing Illini,Social & Leisure,NA,NA
239,Data Science and Artificial Intelligence Society,Technology,Engineering & Mathematics,NA
240,DDRIllini,Athletic & Recreation,NA,NA
241,Deckonomics,Social & Behavioral Sciences,NA,NA
242,DeepRanjani UIUC Chapter,Advocacy & Activism,Health & Wellness,Social & Behavioral Sciences
243,Delta Chi Fraternity,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
244,Delta Delta Delta Sorority,Community Service & Philanthropy,Social Fraternities & Sororities,NA
245,Delta Delta Sigma,Advocacy & Activism,Community Service & Philanthropy,Education
246,Delta Gamma Sorority,Community Service & Philanthropy,Social Fraternities & Sororities,NA
247,"Delta Kappa Delta Sorority, Inc.",Community Service & Philanthropy,Social Fraternities & Sororities,NA
248,"Delta Phi Omega Sorority, Inc.",Community Service & Philanthropy,Identity & Culture,Social Fraternities & Sororities
249,"Delta Sigma Theta Sorority, Inc Alpha Nu Chapter",Community Service & Philanthropy,Social Fraternities & Sororities,NA
250,Delta Upsilon,Community Service & Philanthropy,Social & Leisure,NA
251,Delta Zeta,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
252,Department of Chemical and Biomolecular Engineering Graduate Student Advisory Council University of Illinois at Urbana Champaign,Technology,Engineering & Mathematics,NA
253,Department of Student Engagement,NA,NA,NA
254,Design Build Fly,Technology,Engineering & Mathematics,NA
255,Design For America at UIUC,Community Service & Philanthropy,Information & Data Sciences,NA
256,Design Innovation Illinois,Information & Data Sciences,Media Arts,NA
257,Design Movement,Faith,Religion & Spirituality,Identity & Culture
258,Destino,Faith,Religion & Spirituality,Identity & Culture
259,Deutschklub at Illinois,Identity & Culture,International,Social & Leisure
260,Dheem,Athletic & Recreation,Identity & Culture,Performance Arts
261,Disabilities United in Urbana-Champaign,Advocacy & Activism,Community Service & Philanthropy,Education
262,Disability Law Society,Advocacy & Activism,Identity & Culture,Law
263,Divergence 2% Laboratory,Business,Technology,Engineering & Mathematics
264,Diverse Curlz,Identity & Culture,NA,NA
265,Divine Youth Associates,Faith,Religion & Spirituality,NA
266,DIY Illini,Education,Pedagogy & Instruction,Technology
267,Doctors Without Borders at The University of Illinois Urbana-Champaign,Health & Wellness,NA,NA
268,Documentary Club at UIUC,Identity & Culture,Media Arts,Social & Leisure
269,Double Helix Digest,Life & Physical Sciences,NA,NA
270,DYP ( Do Your Part ),Advocacy & Activism,Community Service & Philanthropy,Faith
271,E-Somniacs,Athletic & Recreation,Social & Leisure,Technology
272,Earthquake Engineering Research Institute,International,Technology,Engineering & Mathematics
273,East African Community Club,Identity & Culture,NA,NA
274,Eastern European Illini,Identity & Culture,NA,NA
275,Ecclesia,Faith,Religion & Spirituality,NA
276,Eco Illini Supermileage,Environmental & Sustainability,Technology,Engineering & Mathematics
277,Economics Club,Education,Pedagogy & Instruction,NA
278,Economics Graduate Student Organization,Education,Pedagogy & Instruction,NA
279,Economics Tournament at the University of Illinois,Education,Pedagogy & Instruction,NA
280,Ecuadorian Student Association,Identity & Culture,Social & Leisure,NA
281,Education And Training For Health,Advocacy & Activism,Community Service & Philanthropy,NA
282,Effective Altruism Chapter at University of Illinois Urbana-Champaign,Advocacy & Activism,Community Service & Philanthropy,Environmental & Sustainability
283,Egyptian Student Association,Identity & Culture,NA,NA
284,Electric Propulsion Initiative,Technology,Engineering & Mathematics,NA
285,Electronic Music Club,Education,Pedagogy & Instruction,International
286,Elevate Campus Ministry,Faith,Religion & Spirituality,NA
287,Elohist Bible Study Club,Community Service & Philanthropy,Faith,Religion & Spirituality
288,Emergency Management at UIUC,Community Service & Philanthropy,Education,Pedagogy & Instruction
289,Empowering Minorities and Building Representation Across Civil and Environmental Engineering ( EMBRACE ),Environmental & Sustainability,Technology,Engineering & Mathematics
290,Enactus,Advocacy & Activism,Community Service & Philanthropy,Education
291,Energy and Environmental Law Society,Identity & Culture,NA,NA
292,Engineering Council,Community Service & Philanthropy,Social & Leisure,Technology
293,Engineering Outreach Society,Community Service & Philanthropy,Education,Pedagogy & Instruction
294,Engineering Student Alumni Ambassadors,Technology,Engineering & Mathematics,NA
295,Engineers in Action Bridge Program,Community Service & Philanthropy,Technology,Engineering & Mathematics
296,"Engineers Without Borders, UIUC Chapter",Community Service & Philanthropy,Environmental & Sustainability,International
297,English Corner,Identity & Culture,NA,NA
298,English Student Association,NA,NA,NA
299,Epsilon Delta Professional Teaching Organization,NA,NA,NA
300,Equity Research Association,Business,NA,NA
301,Esperanto @ UIUC,Identity & Culture,Ideology & Politics,International
302,Eta Kappa Nu Electrical and Computer Engineering Society,Community Service & Philanthropy,Education,Pedagogy & Instruction
303,Euchre League,Social & Leisure,NA,NA
304,Evangelical Christian Union,Faith,Religion & Spirituality,NA
305,Evexía,Health & Wellness,Law,Social & Leisure
306,Exploration Robotics at University of Illinois,Technology,Engineering & Mathematics,NA
307,FACES Consulting,Business,NA,NA
308,Falling Illini Skydiving,Athletic & Recreation,NA,NA
309,FarmHouse Fraternity,Agricultural,Community Service & Philanthropy,Social & Leisure
310,Federalist Society for Law and Public Policy Studies,Social & Leisure,NA,NA
311,Fencing Illini,Athletic & Recreation,NA,NA
312,Field and Furrow Agronomy Club,Agricultural,NA,NA
313,FIFA 25 Soccer Club @UIUC,NA,NA,NA
314,Film Score Orchestra ( FSO ),Performance Arts,NA,NA
315,Film Scoring at UIUC,Media Arts,NA,NA
316,Financial Audit Club,Business,NA,NA
317,Financial Engineering Club,Business,Information & Data Sciences,Technology
318,FinTech Student Society,Business,Technology,Engineering & Mathematics
319,Fizaa,Identity & Culture,NA,NA
320,Flashpoint Photography Club,Media Arts,Social & Leisure,NA
321,Flippin’ Illini Gymnastics Club,Athletic & Recreation,Club Sports,NA
322,Floor Lovers Illinois,Athletic & Recreation,Performance Arts,NA
323,Flying Illini Booster Club,Veteran & Military Connected,NA,NA
324,Food Science and Human Nutrition Graduate Student Association,Agricultural,NA,NA
325,Forging Unity Solidarity and Equity for QTPOC,Identity & Culture,NA,NA
326,Formosa Volleyball Enthusiasts,Athletic & Recreation,Identity & Culture,NA
327,Foundation for International Medical Relief of Children - UIUC Chapter,Community Service & Philanthropy,Health & Wellness,NA
328,Founders - Illinois Entrepreneurs,Advocacy & Activism,Business,Community Service & Philanthropy
329,French Club,Identity & Culture,International,NA
330,Fulbright Student Association,Identity & Culture,International,Social & Leisure
331,Future Health Care Executives,Business,NA,NA
332,Future Leaders of STEM,Advocacy & Activism,Community Service & Philanthropy,Technology
333,Futures and Options Society ( FOS ),Business,NA,NA
334,Gaga Ball Club,Athletic & Recreation,Social & Leisure,NA
335,Gah Rahk Mah Dahng,Advocacy & Activism,Identity & Culture,Performance Arts
336,Game Night,Social & Leisure,NA,NA
337,Game Theory Optimal Illini,Social & Leisure,Technology,Engineering & Mathematics
338,Gamma Iota Sigma,Education,Pedagogy & Instruction,NA
339,Gamma Phi Beta Sorority,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
340,"Gamma Phi Omega International Sorority, Inc.",Identity & Culture,Social & Leisure,Social Fraternities & Sororities
341,Gargoyles Honors Society,Honorary,NA,NA
342,Gastro Health Foundation at UIUC,Advocacy & Activism,NA,NA
343,Gender and Sexuality Resource Center ( GSRC ),NA,NA,NA
344,Gender and Women’s Studies RSO,Identity & Culture,Social & Leisure,~ Affiliation: Women's Resources Center (WRC)
345,GeoClub,Environmental & Sustainability,Life & Physical Sciences,Social & Leisure
346,Geography Graduate Student Association,Environmental & Sustainability,Information & Data Sciences,Life & Physical Sciences
347,Geometry Lab Undergrad Outreach,NA,NA,NA
348,Geotechnical Engineering Student Organization,Technology,Engineering & Mathematics,NA
349,Ghost Electric Motorcycles,Technology,Engineering & Mathematics,NA
350,Ghungroo Dance Company,Identity & Culture,Performance Arts,NA
351,Gies Capital Association,Business,Education,Pedagogy & Instruction
352,Gift of Life UIUC,Health & Wellness,NA,NA
353,Girl Gains at UIUC,Athletic & Recreation,Health & Wellness,Social & Leisure
354,Girl Up UIUC,Advocacy & Activism,NA,NA
355,Girls Next Door A Cappella,Performance Arts,Social & Leisure,NA
356,Girls Who Code UIUC College Loop,Technology,Engineering & Mathematics,NA
357,GLAM Squad,NA,NA,NA
358,Glide to Growth,Advocacy & Activism,Athletic & Recreation,Health & Wellness
359,Global Empowerment for Women’s Medical Support,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
360,Global Engineering Brigade ( GEB ),Community Service & Philanthropy,Environmental & Sustainability,Technology
361,Global Medical Missions Alliance,Community Service & Philanthropy,Faith,Religion & Spirituality
362,Global Medical Training,Community Service & Philanthropy,Health & Wellness,NA
363,Global Review at Illinois,Education,Pedagogy & Instruction,Environmental & Sustainability
364,Glory Nation Prayer City,Faith,Religion & Spirituality,NA
365,Go Club @ UIUC,Identity & Culture,NA,NA
366,Golden Apple - Illini,Education,Pedagogy & Instruction,NA
367,Good Athlete Project - UIUC,Community Service & Philanthropy,NA,NA
368,Gospel Fellowship,Faith,Religion & Spirituality,NA
369,Graduate Biomedical Engineering Society,Technology,Engineering & Mathematics,NA
370,Graduate Employees’ Organization,Advocacy & Activism,NA,NA
371,"Graduate Organization of, for and by Latine Students",Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
372,Graduate Students in Ecology and Evolutionary Biology,Life & Physical Sciences,NA,NA
373,Graduate Students of French and Italian,NA,NA,NA
374,Graduate Women in the Society of Women Engineers,Community Service & Philanthropy,Health & Wellness,Identity & Culture
375,Greek InterVarsity Christian Fellowship,Faith,Religion & Spirituality,Social & Leisure
376,Greeks Redefined,Health & Wellness,NA,NA
377,Grow2Give,Advocacy & Activism,Agricultural,Environmental & Sustainability
378,Grupo Illini,Performance Arts,NA,NA
379,Guild of Unpaid Illinois Lawyer Thespians,Law,Performance Arts,NA
380,Habitat for Humanity Campus Chapter,Community Service & Philanthropy,NA,NA
381,Hack4Impact UIUC,Technology,Engineering & Mathematics,NA
382,Harmony Ballet,Athletic & Recreation,Performance Arts,NA
383,Harry Potter Alliance,Community Service & Philanthropy,NA,NA
384,Healing Everything And Reaching The Soul,Community Service & Philanthropy,NA,NA
385,Health and Elder Law Society,Law,NA,NA
386,Health of The Homeless,Advocacy & Activism,Health & Wellness,NA
387,Healthcare Book Club,Health & Wellness,NA,NA
388,Healthy Smiles,Health & Wellness,NA,NA
389,Heart of Kindness UIUC,Community Service & Philanthropy,NA,NA
390,Hellenic Student Association,Identity & Culture,NA,NA
391,Her Campus Illinois,Business,Media Arts,Social & Leisure
392,"Hermandad de Sigma Iota Alpha, Incorporada",Social & Leisure,Social Fraternities & Sororities,NA
393,Hillel Leadership Council,Identity & Culture,NA,NA
394,Hindu YUVA UIUC,Faith,Religion & Spirituality,Identity & Culture
395,Hip-Hop Collective at UIUC,Advocacy & Activism,Identity & Culture,Media Arts
396,Hip-Notic Dance Team,Performance Arts,NA,NA
397,Hispanic Organization of Urban Studies and the Environment,Environmental & Sustainability,Identity & Culture,Social & Leisure
398,Hispanic Student Nursing Association,Health & Human Sciences,NA,NA
399,Historical European Martial Arts Urbana slash Champaign,Athletic & Recreation,NA,NA
400,History Graduate Student Association,NA,NA,NA
401,Hive Society Improv,Performance Arts,NA,NA
402,HoloLab,Education,Pedagogy & Instruction,Technology
403,Homebound,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
404,Hong Kong Student Association,Identity & Culture,International,Social & Leisure
405,Horticulture Club,Agricultural,Environmental & Sustainability,NA
406,Hospitality Management Association,Education,Pedagogy & Instruction,NA
407,Hot Pot Basketball Association,Athletic & Recreation,NA,NA
408,Human Development and Family Studies Graduate Student Organization,Advocacy & Activism,Social & Behavioral Sciences,NA
