RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
815,Potted Meat Sketch Comedy,Performance Arts,NA,NA
816,Power Engineers,Social & Leisure,NA,NA
817,Pre-Dental Club,Health & Wellness,NA,NA
818,Pre-Genetic Counseling Club,Advocacy & Activism,Health & Wellness,Life & Physical Sciences
819,Pre-Health Latino Undergraduate Society,Health & Wellness,NA,NA
820,Pre-Health Psychology Association of UIUC ( PPA ),Health & Wellness,Life & Physical Sciences,Social & Behavioral Sciences
821,Pre-Law Honors Society: The Order of Prospective Lawyers,Education,Pedagogy & Instruction,Honorary
822,Pre-Medical Asian Pacific American Medical Student Association,Health & Wellness,NA,NA
823,Pre-Occupational Therapy Association,Education,Pedagogy & Instruction,NA
824,Pre-Optometry Club,Health & Wellness,Life & Physical Sciences,NA
825,Pre-Pharmacy Club,Health & Wellness,NA,NA
826,Pre-Physical Therapy Club,Health & Wellness,NA,NA
827,Pre-Physician Assistant Club,Health & Wellness,NA,NA
828,Pre-Vet Club,Veterinary,NA,NA
829,Pregnant Pig Protection Role Play Game,Social & Leisure,NA,NA
830,Prescription Fitness at UIUC,Community Service & Philanthropy,Health & Wellness,Health & Human Sciences
831,Prime Mergers and Acquisitions,Business,NA,NA
832,Product Space UIUC,Business,Information & Data Sciences,Technology
833,Production Medicine Club,Veterinary,NA,NA
834,Project 4 Less,Community Service & Philanthropy,Environmental & Sustainability,NA
835,Project Code UIUC,Information & Data Sciences,Technology,Engineering & Mathematics
836,Project Taqwa UIUC,Faith,Religion & Spirituality,Health & Wellness
837,Prospanica,Business,Identity & Culture,NA
838,PRSSA@ILLINOIS,Business,NA,NA
839,Psi Eta Mu - iSchool Professional Fraternity,Information & Data Sciences,NA,NA
840,Psi Upsilon Omicron,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
841,Psych Bites Undergraduate Psychology Journal,Education,Pedagogy & Instruction,Social & Behavioral Sciences
842,Psychology Research and Community Club,Health & Wellness,Social & Behavioral Sciences,NA
843,Psychology Survey Club,Education,Pedagogy & Instruction,Information & Data Sciences
844,Public Interest Law Foundation,Law,NA,NA
845,Public Policy Leaders,Law,NA,NA
846,Puerto Rican Student Association,Advocacy & Activism,Education,Pedagogy & Instruction
847,Pulse,Technology,Engineering & Mathematics,NA
848,Quant,Technology,Engineering & Mathematics,NA
849,Queer Book Club,Identity & Culture,Social & Leisure,NA
850,Queer Library Alliance,Identity & Culture,Social & Leisure,NA
851,Queer Wellness at Illinois,Community Service & Philanthropy,Health & Wellness,Identity & Culture
852,Raas Mania,Identity & Culture,Performance Arts,NA
853,Re: verie,Athletic & Recreation,Performance Arts,Social & Leisure
854,REACH,Business,Media Arts,Social & Leisure
855,Reaching Across Classes,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
856,Real Estate Law Society,Law,NA,NA
857,Recreational Volleyball,Athletic & Recreation,NA,NA
858,Red Bison Ecological Restoration,Advocacy & Activism,Community Service & Philanthropy,Environmental & Sustainability
859,Red Crescent Moon,Community Service & Philanthropy,Education,Pedagogy & Instruction
860,Reformed University Fellowship,Faith,Religion & Spirituality,NA
861,Remote Area Medical Chapter at UIUC,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
862,Retrieval Augmented Generation @ UIUC,Technology,Engineering & Mathematics,NA
863,Retrocomputing and Hardware at Illinois,Social & Leisure,Technology,Engineering & Mathematics
864,"Rho Epsilon, Student Real Estate Association",Business,NA,NA
865,RISE,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
866,Robobrawl,Technology,Engineering & Mathematics,NA
867,Root to Roof,Community Service & Philanthropy,Environmental & Sustainability,NA
868,Roselle,Identity & Culture,International,Performance Arts
869,Rube Goldberg Society,Media Arts,Social & Leisure,Technology
870,Rural Area Student Initiative,Advocacy & Activism,Community Service & Philanthropy,Education
871,Russian Speaking Organization,Identity & Culture,International,Social & Leisure
872,Salaam Middle East and North Africa ( MENA ) Cultural Center,Identity & Culture,International,NA
873,Saudi Students Association,Identity & Culture,NA,NA
874,Save the Children Action Network at University of Illinois at Urbana Champaign,Advocacy & Activism,NA,NA
875,Scandinavian Club,Identity & Culture,International,NA
876,Science Policy Group,Advocacy & Activism,Life & Physical Sciences,NA
877,Secular Student Alliance,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
878,Security Studies Group,NA,NA,NA
879,Serbian Student Association,Identity & Culture,NA,NA
880,SGI Buddhists for World Peace,Faith,Religion & Spirituality,NA
881,Sharing Smiles with Hospice Patients,Advocacy & Activism,Community Service & Philanthropy,Education
882,She’s the First UIUC,Advocacy & Activism,Community Service & Philanthropy,NA
883,Sibshops UIUC,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
884,Sigma Alpha Epsilon Fraternity,Social & Leisure,NA,NA
885,Sigma Alpha Iota International Music Fraternity for Women,Performance Arts,NA,NA
886,Sigma Alpha Professional Agricultural Sorority,Agricultural,Social Fraternities & Sororities,NA
887,"Sigma Beta Rho Fraternity, Inc.",Community Service & Philanthropy,Identity & Culture,Social Fraternities & Sororities
888,Sigma Chi Fraternity,Community Service & Philanthropy,Social & Leisure,NA
889,Sigma Delta Tau,Social & Leisure,Social Fraternities & Sororities,NA
890,"Sigma Gamma Rho Sorority, Inc.",Community Service & Philanthropy,Social Fraternities & Sororities,NA
891,Sigma Lambda Beta International Fraternity Inc.-Kappa Chapter,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
892,Sigma Lambda Gamma National Sorority Inc. Delta Chapter,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
893,Sigma Nu Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
894,Sigma Phi Delta Fraternity,Social & Leisure,Social Fraternities & Sororities,Technology
895,Sigma Phi Epsilon,Social & Leisure,Social Fraternities & Sororities,NA
896,"Sigma Psi Zeta Sorority, Inc.",Community Service & Philanthropy,Identity & Culture,Social & Leisure
897,Sikh Student Association,Faith,Religion & Spirituality,Identity & Culture
898,Singapore Students Association,Social & Leisure,NA,NA
899,Sino U.S. Trade Research Group,Business,Information & Data Sciences,Technology
900,SKATE for Girls,Athletic & Recreation,Community Service & Philanthropy,Education
901,Skateboarding Illini,Athletic & Recreation,Health & Wellness,Performance Arts
902,Skeumorphics,Media Arts,NA,NA
903,SKY Meditation at UIUC,Community Service & Philanthropy,Health & Wellness,Social & Leisure
904,Social Gaming Club,Athletic & Recreation,Health & Wellness,Social & Leisure
905,Social Justice Initiative,Advocacy & Activism,Education,Pedagogy & Instruction
906,Society for Business Management in Architecture,Business,Social & Leisure,NA
907,Society for Ecological Restoration at the University of Illinois,Community Service & Philanthropy,Education,Pedagogy & Instruction
908,Society for Engineering Mechanics,Life & Physical Sciences,Social & Leisure,Technology
909,Society for Equity in Astronomy,Advocacy & Activism,Life & Physical Sciences,NA
910,Society for Industrial and Applied Mathematics,Education,Pedagogy & Instruction,Information & Data Sciences
911,Society for the Advancement of Chicanos and Native Americans in Science - UIUC Chapter,Identity & Culture,Life & Physical Sciences,NA
912,Society for the Promotion of Indian Classical Music and Culture Amongst Youth,Identity & Culture,Performance Arts,NA
913,Society for Underrepresented Physics Students,Advocacy & Activism,Community Service & Philanthropy,Education
914,Society for Women in Physics,Life & Physical Sciences,NA,NA
915,Society of Asian Scientists and Engineers,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
916,Society of Hispanic Professional Engineers,Technology,Engineering & Mathematics,NA
917,Society of Minority Students in History,Advocacy & Activism,Education,Pedagogy & Instruction
918,Society of Professional Journalists,Media Arts,NA,NA
919,Society of Women Engineers,Technology,Engineering & Mathematics,NA
920,Society of Women in Business,Business,NA,NA
921,Society of Women In Public Affairs,Business,Community Service & Philanthropy,Honorary
922,Sociology Student Organization ( SSO ),Social & Leisure,NA,NA
923,SoSudsy Soap Club,Business,Education,Pedagogy & Instruction
